<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20210111,153000,129,129.34,128.31,128.56,5098689,0
AAPL.US,5,20210111,153500,128.54,128.97,128.36,128.92,1314952,0
AAPL.US,5,20210111,154000,128.9,129.63,128.71,129.21,1477397,0
AAPL.US,5,20210111,154500,129.19,129.24,128.63,128.87,1319491,0
AAPL.US,5,20210111,155000,128.85,128.92,128.42,128.7,961748,0
AAPL.US,5,20210111,155500,128.73,129.34,128.71,129.24,1232126,0
AAPL.US,5,20210111,160000,129.19,129.59,129.18,129.49,1382013,0
AAPL.US,5,20210111,160500,129.5,129.96,129.45,129.77,1956466,0
AAPL.US,5,20210111,161000,129.76,129.77,129.39,129.51,1414738,0
AAPL.US,5,20210111,161500,129.5,129.81,129.4,129.62,1097682,0
AAPL.US,5,20210111,162000,129.62,129.7,129.39,129.5,1049271,0
AAPL.US,5,20210111,162500,129.52,129.89,129.43,129.81,1046183,0
AAPL.US,5,20210111,163000,129.81,129.89,129.67,129.88,1019115,0
AAPL.US,5,20210111,163500,129.88,129.92,129.47,129.76,1043054,0
AAPL.US,5,20210111,164000,129.76,129.78,129.36,129.44,828607,0
AAPL.US,5,20210111,164500,129.45,129.45,129.13,129.18,1150765,0
AAPL.US,5,20210111,165000,129.18,129.49,129.16,129.29,796685,0
AAPL.US,5,20210111,165500,129.29,129.52,129.27,129.38,715187,0
AAPL.US,5,20210111,170000,129.37,129.45,129.13,129.3,880033,0
AAPL.US,5,20210111,170500,129.29,129.43,129.16,129.32,709177,0
AAPL.US,5,20210111,171000,129.33,129.33,128.84,128.98,1101013,0
AAPL.US,5,20210111,171500,128.99,129.18,128.91,129.07,750261,0
AAPL.US,5,20210111,172000,129.07,129.37,129.02,129.3,874874,0
AAPL.US,5,20210111,172500,129.3,129.39,129.26,129.38,556629,0
AAPL.US,5,20210111,173000,129.37,129.5,129.34,129.44,760333,0
AAPL.US,5,20210111,173500,129.45,129.49,129.34,129.44,443344,0
AAPL.US,5,20210111,174000,129.44,129.45,129.21,129.27,508826,0
AAPL.US,5,20210111,174500,129.27,129.31,129.11,129.27,583896,0
AAPL.US,5,20210111,175000,129.26,129.41,129.15,129.2,480042,0
AAPL.US,5,20210111,175500,129.2,129.41,129.19,129.32,576455,0
AAPL.US,5,20210111,180000,129.32,129.41,129.16,129.29,597657,0
AAPL.US,5,20210111,180500,129.29,129.44,129.21,129.43,522554,0
AAPL.US,5,20210111,181000,129.43,129.53,129.31,129.41,625599,0
AAPL.US,5,20210111,181500,129.41,129.66,129.41,129.59,790381,0
AAPL.US,5,20210111,182000,129.59,129.64,129.46,129.61,529332,0
