<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMZN.US,5,20210111,153000,3148.01,3152.31,3131.55,3131.55,100270,0
AMZN.US,5,20210111,153500,3132,3136.41,3118.98,3132.57,37519,0
AMZN.US,5,20210111,154000,3133.44,3146.54,3124,3128.02,28343,0
AMZN.US,5,20210111,154500,3128,3139.53,3123.15,3133.74,32667,0
AMZN.US,5,20210111,155000,3130.68,3133.73,3125.02,3133.15,15584,0
AMZN.US,5,20210111,155500,3135.1,3141.93,3133.04,3141,24551,0
AMZN.US,5,20210111,160000,3141.45,3146,3135.61,3137.89,26598,0
AMZN.US,5,20210111,160500,3138.23,3142.09,3136,3140.7,17729,0
AMZN.US,5,20210111,161000,3141.09,3141.43,3133.62,3137.83,9555,0
AMZN.US,5,20210111,161500,3137.42,3143.64,3136.11,3138.69,11295,0
AMZN.US,5,20210111,162000,3138.85,3142.21,3135.67,3138.61,12277,0
AMZN.US,5,20210111,162500,3138.33,3146.99,3137.62,3145,15482,0
AMZN.US,5,20210111,163000,3145.46,3146.45,3142.55,3144.03,13108,0
AMZN.US,5,20210111,163500,3143.78,3145.14,3140.1,3142,16991,0
AMZN.US,5,20210111,164000,3143.45,3145,3140.9,3140.9,16964,0
AMZN.US,5,20210111,164500,3140.34,3140.46,3136,3137,11424,0
AMZN.US,5,20210111,165000,3137,3139,3135.6,3137.19,8951,0
AMZN.US,5,20210111,165500,3136.52,3144.48,3136.02,3141.39,20914,0
AMZN.US,5,20210111,170000,3140.02,3140.62,3136.66,3140.42,8132,0
AMZN.US,5,20210111,170500,3141.47,3144,3140.2,3141.58,6346,0
AMZN.US,5,20210111,171000,3141.31,3142.75,3136.02,3136.52,8457,0
AMZN.US,5,20210111,171500,3136.53,3138.31,3136.49,3137.51,6221,0
AMZN.US,5,20210111,172000,3137.89,3146,3137.89,3145.42,12107,0
AMZN.US,5,20210111,172500,3145.29,3146.81,3143.16,3144.8,7884,0
AMZN.US,5,20210111,173000,3144.93,3149.67,3144.93,3147.56,10135,0
AMZN.US,5,20210111,173500,3147.57,3154.73,3147.13,3153.3,14217,0
AMZN.US,5,20210111,174000,3153.14,3153.54,3151.3,3152.49,6764,0
AMZN.US,5,20210111,174500,3152.5,3153.44,3147.22,3149.5,7640,0
AMZN.US,5,20210111,175000,3150.11,3150.11,3145.55,3147.1,5359,0
AMZN.US,5,20210111,175500,3147.58,3150.41,3147.58,3149.53,7736,0
AMZN.US,5,20210111,180000,3149.16,3150.55,3148.5,3149.34,6468,0
AMZN.US,5,20210111,180500,3149,3149.85,3146.55,3148,4442,0
AMZN.US,5,20210111,181000,3148.06,3148.23,3145.88,3147.76,4628,0
AMZN.US,5,20210111,181500,3147.46,3148.93,3143.99,3145.76,4665,0
AMZN.US,5,20210111,182000,3145.5,3147.21,3144.6,3147.02,3340,0
