<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FB.US,5,20210111,153000,260.48,262.12,255.9,256.9,1269606,0
FB.US,5,20210111,153500,256.945,258.435,256.705,257.76,381674,0
FB.US,5,20210111,154000,257.82,258.27,257.02,257.41,317912,0
FB.US,5,20210111,154500,257.345,258.78,256.78,258.67,487253,0
FB.US,5,20210111,155000,258.62,259.628,258.14,258.53,276467,0
FB.US,5,20210111,155500,258.74,261.94,258.58,261,558988,0
FB.US,5,20210111,160000,261.055,261.65,260.526,261.501,190997,0
FB.US,5,20210111,160500,261.57,262.78,261.36,261.8,271284,0
FB.US,5,20210111,161000,261.771,261.89,260.64,261.405,211778,0
FB.US,5,20210111,161500,261.33,261.98,260.71,260.745,172070,0
FB.US,5,20210111,162000,260.72,260.94,259.85,260.155,222189,0
FB.US,5,20210111,162500,260.14,260.32,259.72,260.1,218610,0
FB.US,5,20210111,163000,260.135,260.81,259.92,260.71,191689,0
FB.US,5,20210111,163500,260.68,261.08,259.98,260.09,182646,0
FB.US,5,20210111,164000,260.135,260.35,259.91,260.048,168023,0
FB.US,5,20210111,164500,260.09,260.09,259.5,259.75,196656,0
FB.US,5,20210111,165000,259.69,259.9,259.39,259.68,278783,0
FB.US,5,20210111,165500,259.66,259.87,259.5,259.695,148310,0
FB.US,5,20210111,170000,259.68,260.61,259.56,260.255,209363,0
FB.US,5,20210111,170500,260.3,260.39,259.84,259.995,151280,0
FB.US,5,20210111,171000,260.02,260.16,259.5,259.67,128486,0
FB.US,5,20210111,171500,259.67,260.12,259.5,259.59,119871,0
FB.US,5,20210111,172000,259.57,260.4,259.5,260.3,120096,0
FB.US,5,20210111,172500,260.3,260.85,260.1,260.129,142583,0
FB.US,5,20210111,173000,260.108,260.466,259.8,259.85,104393,0
FB.US,5,20210111,173500,259.85,260.473,259.6,260.303,137885,0
FB.US,5,20210111,174000,260.29,260.31,259.5,259.73,117269,0
FB.US,5,20210111,174500,259.703,260.17,259.388,260.02,166534,0
FB.US,5,20210111,175000,260.02,260.96,260,260.81,155366,0
FB.US,5,20210111,175500,260.84,261.93,260.725,261.875,229386,0
FB.US,5,20210111,180000,261.885,262.99,261.79,262.55,224269,0
FB.US,5,20210111,180500,262.54,262.76,262.29,262.686,148601,0
FB.US,5,20210111,181000,262.7,262.86,262,262.18,128418,0
FB.US,5,20210111,181500,262.18,262.645,262.108,262.56,107815,0
FB.US,5,20210111,182000,262.56,262.75,262.11,262.18,75634,0
