<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSFT.US,5,20210111,153000,217.97,218.15,216.83,216.86,796221,0
MSFT.US,5,20210111,153500,216.88,217.45,216.23,217.43,220591,0
MSFT.US,5,20210111,154000,217.45,217.81,216.67,216.71,210153,0
MSFT.US,5,20210111,154500,216.68,217.02,216.35,216.65,251227,0
MSFT.US,5,20210111,155000,216.62,217.13,216.51,217.11,148429,0
MSFT.US,5,20210111,155500,217.14,217.45,216.9,216.94,175898,0
MSFT.US,5,20210111,160000,216.93,217.29,216.5,217.2,299295,0
MSFT.US,5,20210111,160500,217.26,218.01,217.26,217.93,216231,0
MSFT.US,5,20210111,161000,217.92,218.12,217.81,218.09,203248,0
MSFT.US,5,20210111,161500,218.04,218.2,217.81,217.83,201304,0
MSFT.US,5,20210111,162000,217.85,218.21,217.8,218.01,176285,0
MSFT.US,5,20210111,162500,218.01,218.33,217.98,218.26,106692,0
MSFT.US,5,20210111,163000,218.26,218.41,218.16,218.38,137059,0
MSFT.US,5,20210111,163500,218.39,218.41,218.21,218.32,164434,0
MSFT.US,5,20210111,164000,218.32,218.36,218.11,218.18,202425,0
MSFT.US,5,20210111,164500,218.19,218.22,217.81,217.83,189865,0
MSFT.US,5,20210111,165000,217.82,218.06,217.71,217.87,155512,0
MSFT.US,5,20210111,165500,217.84,218.02,217.75,217.84,95336,0
MSFT.US,5,20210111,170000,217.86,217.89,217.51,217.59,108668,0
MSFT.US,5,20210111,170500,217.6,217.66,217.43,217.5,138344,0
MSFT.US,5,20210111,171000,217.5,217.51,216.94,216.96,170793,0
MSFT.US,5,20210111,171500,216.96,217.13,216.94,217.04,90201,0
MSFT.US,5,20210111,172000,217.05,217.57,216.99,217.54,139260,0
MSFT.US,5,20210111,172500,217.56,217.64,217.38,217.58,118461,0
MSFT.US,5,20210111,173000,217.57,217.82,217.56,217.7,100542,0
MSFT.US,5,20210111,173500,217.71,217.99,217.67,217.95,130813,0
MSFT.US,5,20210111,174000,217.94,218.06,217.75,217.82,118466,0
MSFT.US,5,20210111,174500,217.82,217.96,217.66,217.82,76469,0
MSFT.US,5,20210111,175000,217.81,217.84,217.42,217.45,105419,0
MSFT.US,5,20210111,175500,217.43,217.65,217.4,217.61,70860,0
MSFT.US,5,20210111,180000,217.62,217.77,217.56,217.62,80748,0
MSFT.US,5,20210111,180500,217.61,217.67,217.38,217.66,71294,0
MSFT.US,5,20210111,181000,217.66,217.7,217.49,217.63,85506,0
MSFT.US,5,20210111,181500,217.64,217.74,217.55,217.63,63220,0
MSFT.US,5,20210111,182000,217.65,217.75,217.56,217.73,71239,0
